mRNA,microRNA,weight,edge_color
SLC12A8,hsa-mir-495,0.533453371,green
RNASE6,hsa-mir-106a,0.572891123,green
FMNL3,hsa-mir-708,0.537830827,green
ULK2,hsa-mir-1248,0.532100201,red
RAB3IP,hsa-mir-337,0.598745594,red
NPR1,hsa-mir-224,0.630516448,green
KIF4A,hsa-mir-199b,0.565555119,green
FUCA1,hsa-mir-196b,0.554059477,green
SND1,hsa-mir-151,0.584395422,red
TPP1,hsa-mir-130b,0.537364895,green
SLC12A8,hsa-mir-377,0.65070799,green
PAPLN,hsa-mir-629,0.587543468,green
TMEM106A,hsa-mir-363,0.533929884,green
HEYL,hsa-mir-1293,0.593196656,green
HSPG2,hsa-mir-1293,0.739922457,green
GRIK2,hsa-mir-378c,0.539154175,green
RAB3IP,hsa-mir-433,0.531018256,red
SFTPB,hsa-mir-200c,0.538174901,green
C16orf53,hsa-mir-181d,0.563226454,red
ITGBL1,hsa-mir-1293,0.634282937,green
CD84,hsa-mir-942,0.675166169,green
CTSB,hsa-mir-93,0.661949015,green
FAM69A,hsa-mir-488,0.549374794,green
DLL4,hsa-mir-1293,0.559304879,green
CYB5R4,hsa-mir-579,0.574818204,green
AFAP1L1,hsa-mir-1976,0.532339039,red
DUSP1,hsa-mir-182,0.56004845,green
DHDDS,hsa-mir-10a,0.538940971,red
EPHA10,hsa-mir-338,0.532581353,red
CGREF1,hsa-mir-22,0.539291496,green
CD84,hsa-mir-1254,0.583466537,green
TMEM130,hsa-mir-1293,0.566711712,green
PMS2CL,hsa-mir-182,0.573346888,red
CD4,hsa-mir-940,0.582159267,green
TNFSF13B,hsa-mir-425,0.560302686,green
SGTB,hsa-mir-93,0.569351952,green
TMEM106A,hsa-mir-940,0.578158925,green
KCNN3,hsa-mir-205,0.545259093,green
RASSF4,hsa-mir-942,0.600641074,green
KCNN3,hsa-mir-1293,0.534811135,green
COL5A1,hsa-mir-3676,0.607905257,green
RAB3IP,hsa-mir-539,0.586859267,red
VASH1,hsa-mir-140,0.664372747,red
RIMKLA,hsa-mir-665,0.539382175,red
ARRB1,hsa-mir-217,0.541791914,red
TMTC1,hsa-mir-223,0.603108363,green
FSTL1,hsa-mir-1248,0.573983778,green
ADAMTS16,hsa-mir-1248,0.761750794,green
SIAE,hsa-mir-19a,0.550650571,green
HMCN1,hsa-mir-30a,0.605821604,red
GREM1,hsa-mir-3653,0.547254579,green
PRKCZ,hsa-mir-127,0.603333579,red
PLEKHA1,hsa-mir-338,0.662864504,green
CDK2AP1,hsa-mir-21,0.538033455,green
TNS3,hsa-mir-203,0.566847768,green
MS4A6A,hsa-mir-942,0.743996875,green
NR5A2,hsa-mir-30e,0.589340287,red
PLIN2,hsa-mir-33a,0.553524071,green
SHANK2,hsa-mir-370,0.532093926,red
FBXW8,hsa-mir-32,0.544634297,red
HPCAL4,hsa-mir-370,0.551732256,red
TMEM176B,hsa-mir-942,0.650439039,green
CASP4,hsa-mir-18a,0.561649276,green
LIMCH1,hsa-mir-203,0.578971562,green
CASP4,hsa-mir-18b,0.646210039,green
SSB,hsa-mir-195,0.533423731,green
BTBD9,hsa-mir-1249,0.626093201,green
SRPR,hsa-mir-1248,0.568457911,green
OPN3,hsa-mir-27b,0.533165263,green
FPR3,hsa-mir-3651,0.572740264,green
GPR116,hsa-mir-200c,0.54815962,green
H2AFY2,hsa-mir-130a,0.6571329,red
PRELP,hsa-mir-193b,0.643511673,green
CD163,hsa-mir-130b,0.566765996,green
PRKCZ,hsa-mir-370,0.574926111,red
CAPN5,hsa-mir-338,0.581886936,red
KIF14,hsa-mir-150,0.533840156,green
CHST15,hsa-mir-205,0.57501533,green
VASH1,hsa-mir-1293,0.607643815,green
PNPO,hsa-mir-377,0.536012936,green
XYLT1,hsa-mir-1293,0.569057238,green
STBD1,hsa-mir-27b,0.537810246,green
CMKLR1,hsa-mir-93,0.542090424,green
DOCK9,hsa-mir-200a,0.543147444,green
TTLL7,hsa-mir-154,0.551339224,red
TNFAIP8L1,hsa-mir-1976,0.560428109,red
GAS7,hsa-mir-1248,0.602270011,green
SLCO2B1,hsa-mir-140,0.585961415,red
SLC39A8,hsa-mir-17,0.5742874,green
TNFAIP8L1,hsa-mir-140,0.556551508,red
PCDH12,hsa-mir-193b,0.574557131,green
FYB,hsa-mir-196b,0.610581691,green
SLC12A8,hsa-mir-376c,0.587795491,green
SGMS2,hsa-mir-877,0.532361239,green
CTSA,hsa-mir-130b,0.662248865,green
COL4A1,hsa-mir-205,0.66637562,green
SHANK2,hsa-mir-539,0.537955074,red
DCHS1,hsa-mir-708,0.597489498,green
COL4A4,hsa-mir-203,0.544719099,green
MFHAS1,hsa-mir-223,0.533375866,green
NAIP,hsa-mir-93,0.78255433,green
KIF3C,hsa-mir-1293,0.531485029,green
YY1AP1,hsa-mir-223,0.555091455,green
COL5A1,hsa-mir-3653,0.546050301,green
CGREF1,hsa-mir-141,0.551405002,red
DLG2,hsa-mir-152,0.57089426,green
TRDMT1,hsa-mir-377,0.54632121,red
NID2,hsa-mir-205,0.582911431,green
RABEP1,hsa-mir-193a,0.597086743,green
MEAF6,hsa-mir-940,0.564791763,red
LPAR5,hsa-mir-488,0.583249832,green
XYLT1,hsa-mir-205,0.571866602,green
VWF,hsa-mir-708,0.683119123,green
ZFP28,hsa-mir-1254,0.537034237,red
ACTR8,hsa-mir-195,0.572000066,red
OSBPL10,hsa-mir-708,0.575535555,green
PRELP,hsa-mir-203,0.630046872,green
